circuit	mode	metric	gamma_a	lambda_a	gamma_b	gamma_delta	repeats	shots	seed	baseline_mean	baseline_sample_sd	threshold	between_mean	margin	resolved	qiskit	qiskit_aer
qft_n3	counts	hellinger	0.00017266737044123665	0.00066302102590922157	0.10017266737044124	0.10000000000000001	32	4096	58	0.019067883664147103	0.0057284988835072841	0.036253380314668959	0.18956595136115159	0.15331257104648263	true	2.4.1	0.17.2
qft_n3	counts	one_minus_r2	0.00017266737044123665	0.00066302102590922157	0.10017266737044124	0.10000000000000001	32	4096	58	2.2015236552710293	1.5700033940263955	6.9115338373502162	1.0121772336223365	-5.8993566037278793	false	2.4.1	0.17.2
qft_n3	counts	hellinger	0.00017266737044123665	0.00066302102590922157	0.010172667370441237	0.01	32	4096	58	0.019067883664147103	0.0057284988835072841	0.036253380314668959	0.024547106922359362	-0.011706273392309598	false	2.4.1	0.17.2
qft_n3	counts	one_minus_r2	0.00017266737044123665	0.00066302102590922157	0.010172667370441237	0.01	32	4096	58	2.2015236552710293	1.5700033940263955	6.9115338373502162	0.92527718849539364	-5.9862566488548223	false	2.4.1	0.17.2
qft_n3	counts	hellinger	0.00017266737044123665	0.00066302102590922157	0.0011726673704412368	0.001	32	4096	58	0.019067883664147103	0.0057284988835072841	0.036253380314668959	0.0032967598572204108	-0.03295662045744855	false	2.4.1	0.17.2
qft_n3	counts	one_minus_r2	0.00017266737044123665	0.00066302102590922157	0.0011726673704412368	0.001	32	4096	58	2.2015236552710293	1.5700033940263955	6.9115338373502162	0.068261279103508932	-6.8432725582467073	false	2.4.1	0.17.2
qft_n3	counts	hellinger	0.00017266737044123665	0.00066302102590922157	0.00027266737044123664	0.0001	32	4096	58	0.019067883664147103	0.0057284988835072841	0.036253380314668959	0.0006244610760737173	-0.035628919238595243	false	2.4.1	0.17.2
qft_n3	counts	one_minus_r2	0.00017266737044123665	0.00066302102590922157	0.00027266737044123664	0.0001	32	4096	58	2.2015236552710293	1.5700033940263955	6.9115338373502162	0.0028856629512153259	-6.9086481743990005	false	2.4.1	0.17.2
qft_n3	density_matrix	one_minus_state_fidelity	0.00017266737044123665	0.00066302102590922157	0.10017266737044124	0.10000000000000001	1	1	NA	0	0	1e-10	0.39698305450796512	0.39698305440796511	true	2.4.1	0.17.2
qft_n3	density_matrix	one_minus_state_fidelity	0.00017266737044123665	0.00066302102590922157	0.010172667370441237	0.01	1	1	NA	0	0	1e-10	0.038381747212772654	0.038381747112772653	true	2.4.1	0.17.2
qft_n3	density_matrix	one_minus_state_fidelity	0.00017266737044123665	0.00066302102590922157	0.0011726673704412368	0.001	1	1	NA	0	0	1e-10	0.0015419722169316419	0.0015419721169316418	true	2.4.1	0.17.2
qft_n3	density_matrix	one_minus_state_fidelity	0.00017266737044123665	0.00066302102590922157	0.00027266737044123664	0.0001	1	1	NA	0	0	1e-10	2.5323416971589907e-05	2.5323316971589907e-05	true	2.4.1	0.17.2
ghz_n3	counts	hellinger	0.00017266737044123665	0.00066302102590922157	0.10017266737044124	0.10000000000000001	32	4096	58	0.019835617551986984	0.0066237456045787589	0.039706854365723257	0.36844492135993034	0.3287380669942071	true	2.4.1	0.17.2
ghz_n3	counts	one_minus_r2	0.00017266737044123665	0.00066302102590922157	0.10017266737044124	0.10000000000000001	32	4096	58	0.0005273176849387648	0.00067662367586429661	0.0025571887125316545	0.41035507560403456	0.40779788689150293	true	2.4.1	0.17.2
ghz_n3	counts	hellinger	0.00017266737044123665	0.00066302102590922157	0.010172667370441237	0.01	32	4096	58	0.019835617551986984	0.0066237456045787589	0.039706854365723257	0.11379951325910762	0.074092658893384358	true	2.4.1	0.17.2
ghz_n3	counts	one_minus_r2	0.00017266737044123665	0.00066302102590922157	0.010172667370441237	0.01	32	4096	58	0.0005273176849387648	0.00067662367586429661	0.0025571887125316545	0.0055873679030038308	0.0030301791904721763	true	2.4.1	0.17.2
ghz_n3	counts	hellinger	0.00017266737044123665	0.00066302102590922157	0.0011726673704412368	0.001	32	4096	58	0.019835617551986984	0.0066237456045787589	0.039706854365723257	0.03134872159199549	-0.0083581327737277666	false	2.4.1	0.17.2
ghz_n3	counts	one_minus_r2	0.00017266737044123665	0.00066302102590922157	0.0011726673704412368	0.001	32	4096	58	0.0005273176849387648	0.00067662367586429661	0.0025571887125316545	7.2404469843571906e-05	-0.0024847842426880826	false	2.4.1	0.17.2
ghz_n3	counts	hellinger	0.00017266737044123665	0.00066302102590922157	0.00027266737044123664	0.0001	32	4096	58	0.019835617551986984	0.0066237456045787589	0.039706854365723257	0.011936485457937228	-0.027770368907786031	false	2.4.1	0.17.2
ghz_n3	counts	one_minus_r2	0.00017266737044123665	0.00066302102590922157	0.00027266737044123664	0.0001	32	4096	58	0.0005273176849387648	0.00067662367586429661	0.0025571887125316545	2.0386907242167518e-06	-0.0025551500218074378	false	2.4.1	0.17.2
ghz_n3	density_matrix	one_minus_state_fidelity	0.00017266737044123665	0.00066302102590922157	0.10017266737044124	0.10000000000000001	1	1	NA	0	0	1e-10	0.29814268389228249	0.29814268379228248	true	2.4.1	0.17.2
ghz_n3	density_matrix	one_minus_state_fidelity	0.00017266737044123665	0.00066302102590922157	0.010172667370441237	0.01	1	1	NA	0	0	1e-10	0.028194650254018128	0.028194650154018126	true	2.4.1	0.17.2
ghz_n3	density_matrix	one_minus_state_fidelity	0.00017266737044123665	0.00066302102590922157	0.0011726673704412368	0.001	1	1	NA	0	0	1e-10	0.0012979865888990139	0.0012979864888990138	true	2.4.1	0.17.2
ghz_n3	density_matrix	one_minus_state_fidelity	0.00017266737044123665	0.00066302102590922157	0.00027266737044123664	0.0001	1	1	NA	0	0	1e-10	2.6965631727771111e-05	2.6965531727771111e-05	true	2.4.1	0.17.2
